ICB name,GP code,GP name,Asthma: QOF prevalence,Bowel cancer screening coverage: aged 60 to 74 years old,Breast screening coverage: aged 53 to 70 years old,CHD: QOF prevalence,CKD: QOF prevalence,COPD: QOF prevalence,Cancer: QOF prevalence,Cervical screening coverage: aged 25 to 49 years old,Cervical screening coverage: aged 50 to 64 years old,Children who received at least 1 dose of MMR vaccine between the ages of 1 and 1.5 yrs,Dementia: QOF prevalence,Depression: QOF incidence - new diagnosis,Deprivation score (IMD 2025),Diabetes: QOF prevalence,Hypertension: QOF prevalence,"Last BP reading of patients (80+ yrs, with hypertension), in the last 12 months is <= 150/90 mmHg (denominator incl. PCAs)","Last BP reading of patients (<80 yrs, with hypertension), in the last 12 months is <= 140/90 mmHg (denominator incl. PCAs)",Learning disability: QOF prevalence,Mental Health: QOF prevalence,Obesity: QOF prevalence (new definition),Osteoporosis: QOF prevalence,"Patients (aged 45+ yrs), who have a record of blood pressure in the last 5 yrs (denominator incl. PCAs)",Patients with diabetes and a history of CVD (excl. haem. stroke) treated with a statin (denominator incl. PCAs),People with type 2 diabetes who have received an annual foot check,People with type 2 diabetes who received a cholesterol check,Smoking: QOF prevalence,Stroke: QOF prevalence,Weighted population
North Central London ICB - 93C ,E83613,East Barnet Health Centre,5.2286,74.6224,70.5179,2.2314,3.5607,1.3529,4.5067,67.7665,75.3425,65,0.5095,0.968,18.349,6.8294,13.6871,82.0809,68.9769,0.4744,0.9488,11.283,0.8582,89.3699,87.0466,83.3333,87.2549,11.7516,1.6428,10919
North Central London ICB - 93C ,E83621,Brunswick Park Medical Practice,5.489,70.3971,75.6219,2.5967,5.3401,0.9887,3.7484,68.3007,74.8634,83.0769,0.6193,1.369,13.988,7.9474,14.7436,81.9018,70.0291,0.8257,1.1517,15.2153,0.8458,87.2551,89.8058,87.619,88.5714,12.022,1.3255,9228
North Central London ICB - 93C ,E83622,Temple Fortune Medical Group,3.2836,64.9038,57.8231,2.4331,5.1275,0.402,3.5333,58.3799,70.5426,88.2353,0.9944,1.569,18.447,5.9375,10.8749,76.875,61.2994,0.1904,1.1108,7.7333,1.9656,78.667,79.1667,93.0556,81.9444,9.7053,1.5868,7714
North Central London ICB - 93C ,E83637,Colindale Medical Centre Lp,2.633,61.4943,51.4706,1.4433,1.9509,0.3526,1.5171,65.812,76.378,78.4314,0.1558,1.53,22.211,5.7653,8.9798,88.8889,78.3333,0.533,0.5905,12.9171,0.7847,81.5951,83.6364,94.1176,97.0588,13.9443,0.6643,8568
North Central London ICB - 93C ,E83638,The Mountfield Surgery,4.7166,70.6587,69.5238,2.8498,3.4793,0.5503,5.1887,68.7861,71.134,85.7143,0.4914,2.701,15.402,6.4578,14.3475,80.4734,73.7968,0.1965,0.8058,9.0511,1.0469,87.2508,90.6977,95.5556,91.1111,6.693,1.7296,4312
North Central London ICB - 93C ,E83639,Rosemary Surgery,4.4711,57.6271,71.7647,1.955,3.315,0.4965,1.9085,61.5635,70.1299,86.4865,0.2327,2.197,18.648,8.0395,11.5438,60,52.9412,0.3569,0.931,13.4955,0.9921,77.6386,89.6,72.5,83.75,10.5571,0.7758,4890
North Central London ICB - 93C ,E83649,The Hodford Road Practice,3.5358,64.8352,68.6567,2.241,3.3015,0.5769,2.9066,56.0209,70.7692,89.3617,0.3106,1.119,19.998,5.4149,9.0082,77.8947,66.2379,0.2441,1.0872,6.4393,1.1933,87.1207,85.4839,87.8788,90.9091,12.02,0.8431,3525
North Central London ICB - 93C ,E83653,The Phoenix Practice,4.3525,60.6557,64.2458,2.4181,4.2747,0.7977,3.058,53.1317,71.5116,93.0693,0.7894,1.575,22.825,7.0085,11.2265,81.6024,65.7791,0.5817,1.1551,8.7208,1.0847,78.0241,83.6135,71.4286,84.8214,11.535,1.4875,10352
North Central London ICB - 93C ,E83668,Dr Sp Talpahewa,4.0832,62.8319,65.4321,2.1532,1.2987,0.5508,1.9529,62.9921,73.6842,96.5517,0.2754,1.268,21.067,12.0632,11.6675,76.9231,64.9758,0.5258,0.4757,16.1101,0.1515,85.278,92.1053,88.3117,96.1039,10.9177,1.1017,3183
North Central London ICB - 93C ,F83002,River Place Health Centre,6.5022,62.6168,61.6216,1.693,1.891,1.9256,2.9023,60.4569,74.7126,71.4286,0.4093,1.615,28.49,5.8701,9.2465,77.3585,65.509,0.4651,1.5628,9.3111,0.5049,81.8578,78.2895,85.567,91.7526,15.2202,1.2,11568
North Central London ICB - 93C ,F83003,Park End Surgery,3.8088,67.3913,56.2874,2.2102,2.5287,0.8791,4.4581,61.3372,65.8065,93.5484,0.8791,1.926,13.042,3.2942,11.6037,88.8889,77.0642,0.1507,1.4316,4.7045,0.4302,86.5466,90.3226,84.8485,90.9091,8.4377,1.4567,7594
North Central London ICB - 93C ,F83004,Archway Medical Centre,2.0603,46.2366,39.1813,0.3844,0.3837,0.3469,0.8345,40.8408,52.7778,64.4444,0.1657,1.332,26.098,1.3077,2.5942,69.5238,50.6207,0.125,0.7126,3.1372,0.2336,79.1473,78.4314,73.6111,81.9444,12.6146,0.2938,24854
North Central London ICB - 93C ,F83005,Gower Street Practice,1.209,57.8947,46.5116,0.1764,0.3414,0.1037,0.6484,22.3856,50,78.5714,0.0674,1.849,21.177,0.7291,1.6806,74,62.7737,0.0986,0.555,1.9747,2.53,72.4976,80.7692,82.3529,88.2353,5.5232,0.1452,9069
North Central London ICB - 93C ,F83006,Ampthill Practice,5.3998,58.5075,50.9653,2.2241,2.5148,2.0652,2.6053,46,63.7131,63.7168,0.4829,1.884,33.148,7.6295,11.9527,70.073,59.9876,0.5338,2.1224,9.497,0.2564,81.1056,84.3537,76.7568,88.1081,17.0538,1.2645,15963
North Central London ICB - 93C ,F83007,Roman Way Medical Centre,7.2685,60.6383,50.6849,1.8115,5.4211,2.4342,3.4815,56.25,68.1818,55,0.7925,2.259,27.962,8.5678,14.0391,80.4124,76.1905,0.5095,1.8964,10.8422,1.3201,79.8382,77.0833,,,19.3082,1.2737,4646
North Central London ICB - 93C ,F83008,The Goodinge Group Practice,6.0419,62.9371,52.9412,2.0712,1.854,1.9745,3.2398,54.6961,70.1571,56.8182,0.4271,2.036,28.484,6.279,10.2353,66.1376,53.839,0.951,1.9342,11.401,1.2375,80.6052,88.2927,65.8333,85,19.8593,1.4346,13901
North Central London ICB - 93C ,F83010,Islington Central Medical Centre,5.1592,64.3979,64.1935,1.1287,2.216,1.0063,2.7199,52.9757,65.8863,82.6923,0.3445,1.502,23.752,3.6588,8.5358,81.2698,69.2602,0.3762,1.3146,5.7896,1.345,75.4005,82.3529,,,12.4511,0.8069,19952
North Central London ICB - 93C ,F83011,Primrose Hill Surgery,3.8573,61.9718,49.6855,1.5825,2.6909,0.9126,3.5347,54.8718,69.1275,75.9259,0.3003,1.373,16.981,3.109,9.5183,83.1461,77.2446,0.1733,1.2129,4.417,0.1808,78.6209,86.076,86.4865,94.5946,10.0713,0.9819,7465
North Central London ICB - 93C ,F83012,Elizabeth Avenue Group Practice,5.1506,66.3415,62.1622,2.4917,2.8855,2.7315,3.7975,62.9834,75.6303,88.8889,0.8794,1.664,25.538,4.9538,11.9787,78.4314,59.9196,0.8128,2.4117,18.3664,2.8986,80.6495,79.661,76.2712,88.1356,15.5817,1.8654,9239
North Central London ICB - 93C ,F83015,St Johns Way Medical Centre,6.055,64.6865,58.7755,1.7668,2.6849,1.9742,3.088,63.9515,74.1071,74.0385,0.4609,3.242,27.269,5.8964,10.4932,77.0115,62.6244,0.6222,2.1432,11.9751,0.4971,81.9743,77.6596,79.8246,87.7193,15.9444,1.3289,14211
North Central London ICB - 93C ,F83017,Hampstead Group Practice,4.7946,57.672,49.0446,1.9075,3.1922,1.3402,3.7704,51.1158,64.5902,90.3226,1.0733,1.362,18.186,4.7665,11.3502,87.381,74.9537,0.3615,1.6628,8.2932,0.8367,83.2711,83.7037,92.8,96,11.4179,1.5126,18319
North Central London ICB - 93C ,F83018,Prince Of Wales Group Surgery,5.979,55.1351,49.3243,1.8279,2.1209,1.9731,3.0747,54.3417,69.3431,75,0.5568,1.529,32.633,7.0843,11.9961,71.0843,59.6364,0.7747,1.9368,10.5757,0.2998,84.0809,91.6667,86.0215,94.6237,19.4533,1.3073,10233
North Central London ICB - 93C ,F83019,Abbey Medical Centre,4.5197,54.2662,48.6607,2.0076,3.6617,1.5168,3.2791,52.9118,70.6977,77.3333,0.6841,2.054,26.114,6.7342,13.4434,78.7234,64.6383,0.5056,1.9853,9.5115,0.3181,91.5916,81.6479,84.252,89.7638,13.7697,1.5615,14037
North Central London ICB - 93C ,F83020,Adelaide Medical Centre,5.1189,61.2319,49.2683,2.2688,3.4123,1.2257,3.7726,55.102,65.9794,95.5556,1.017,1.41,18.939,5.1977,12.0828,85.5856,70.5771,0.4086,1.4691,6.886,0.366,91.4871,88.5714,80,86.6667,12.3085,1.5038,12186
North Central London ICB - 93C ,F83021,Ritchie Street Group Practice,4.0261,62.0579,61.0442,1.3748,1.7487,1.1958,2.4897,49.1559,65.9483,74.0385,0.2946,1.36,24.351,3.692,7.9776,80.2632,68.17,0.2022,1.6175,7.0207,0.0729,74.0601,80.8511,74.7573,87.3786,14.5322,1.0514,17197
North Central London ICB - 93C ,F83022,Caversham Group Practice,6.0914,65.0407,55.7823,1.6831,1.9075,1.737,3.1566,68.2864,71.1111,79.2,0.605,0.918,24.985,5.1121,10.2905,85.6742,69.2364,0.4672,1.779,9.2335,0.2096,86.8914,86.3415,76.6129,88.7097,16.4859,1.5034,18268
North Central London ICB - 93C ,F83023,James Wigg Practice,5.4392,59.9606,52.4631,1.741,2.2319,1.741,3.0195,56.1951,72.2078,77.7778,0.432,2.305,27.582,5.7497,10.6859,81.8919,74.6032,0.5498,2.317,9.4726,0.5387,83.3041,88.7043,83.7563,89.3401,16.5802,1.1825,25067
North Central London ICB - 93C ,F83032,St Peter's Street Medical Practice,4.641,65.0407,63.0769,1.5009,1.3264,1.4675,2.5598,52.126,71.5847,78.6517,0.3335,1.961,21.197,3.627,7.3209,76.8,67.7291,0.3002,0.9756,6.6801,0.0986,76.4431,90.9091,80,89.2308,13.0133,1.0673,11017
North Central London ICB - 93C ,F83033,Barnsbury Medical Practice,4.675,59.2593,62.7451,1.4486,1.6102,1.0091,1.4323,48.4962,65.9574,55.8824,0.3418,1.591,27.73,4.8812,7.6823,74.3902,60.7692,0.3743,1.2207,10.2041,0.5917,80.0656,90.3226,,,14.7161,0.7975,5252
North Central London ICB - 93C ,F83034,New North Health Centre,4.4477,65.1163,62.5,2.0275,2.6154,1.5206,3.9826,40,57.8947,33.3333,0.2172,1.154,23.435,4.2813,11.8755,58.9744,52,0.5069,0.9413,5.3077,0,65.3727,90.9091,90,80,20.1368,0.7965,1722
