ICB name,GP code,GP name,Asthma: QOF prevalence,Bowel cancer screening coverage: aged 60 to 74 years old,Breast screening coverage: aged 53 to 70 years old,CHD: QOF prevalence,CKD: QOF prevalence,COPD: QOF prevalence,Cancer: QOF prevalence,Cervical screening coverage: aged 25 to 49 years old,Cervical screening coverage: aged 50 to 64 years old,Children who received at least 1 dose of MMR vaccine between the ages of 1 and 1.5 yrs,Dementia: QOF prevalence,Depression: QOF incidence - new diagnosis,Deprivation score (IMD 2025),Diabetes: QOF prevalence,Hypertension: QOF prevalence,"Last BP reading of patients (80+ yrs, with hypertension), in the last 12 months is <= 150/90 mmHg (denominator incl. PCAs)","Last BP reading of patients (<80 yrs, with hypertension), in the last 12 months is <= 140/90 mmHg (denominator incl. PCAs)",Learning disability: QOF prevalence,Mental Health: QOF prevalence,Obesity: QOF prevalence (new definition),Osteoporosis: QOF prevalence,"Patients (aged 45+ yrs), who have a record of blood pressure in the last 5 yrs (denominator incl. PCAs)",Patients with diabetes and a history of CVD (excl. haem. stroke) treated with a statin (denominator incl. PCAs),People with type 2 diabetes who have received an annual foot check,People with type 2 diabetes who received a cholesterol check,Smoking: QOF prevalence,Stroke: QOF prevalence,Weighted population
Sussex ICB - 70F ,H82061,Selden Medical Centre,7.6312,70.6714,66.3366,3.224,3.2453,1.6449,4.4303,60.3279,67.9558,91.5663,0.7018,1.931,20.136,7.4189,17.2716,78.1818,65.0769,0.7786,1.8204,15.2411,1.0467,90.9236,83.6957,82,87,15.8594,2.0507,9899
Sussex ICB - 70F ,H82063,Moatfield Surgery,8.17,74.6589,72.0222,3.8883,8.0676,1.7203,5.5497,78.1609,78.8779,93.6709,0.8484,1.535,8.561,7.4488,19.3355,82.2967,66.3941,0.4595,1.0192,13.8292,4.1155,86.335,81.7977,84.472,92.5466,9.8517,2.8868,15065
Sussex ICB - 70F ,H82064,Southgate Medical Group,7.8078,72.5322,75.8824,2.2049,4.3763,1.5982,2.7775,75.1648,79.8658,87.5,0.547,2.466,24.182,8.2914,12.2383,87.5,77.25,1.3161,0.9828,16.0946,1.5888,91.2989,87.444,90.2256,96.2406,17.5374,1.5127,10917
Sussex ICB - 70F ,H82065,Ball Tree Surgery,9.0537,75.3817,63.3238,4.8265,7.8469,2.8328,5.1755,74.9398,70.3557,95,1.0875,1.993,17.346,10.7787,22.0246,79.3814,68.4385,0.8122,1.1345,19.3578,1.4275,85.3687,75.5556,85,90.4545,13.4573,2.4904,16863
Sussex ICB - 70F ,H82066,Fitzalan Medical Group,7.8903,66.9202,62.0397,3.9469,4.5776,2.9141,3.91,59.6457,60.6498,86.7133,1.248,1.367,28.884,10.3255,16.7835,79.1461,56.0585,1.1619,1.7091,17.427,0.7333,85.513,78.2609,82.2314,91.3223,21.416,2.4714,18833
Sussex ICB - 70F ,H82067,Tangmere Medical Centre,9.0814,76.2295,69.8225,3.6274,6.1725,1.7113,4.0733,80.2867,83.7209,93.9394,1.0484,1.822,19.1,7.4396,18.9925,86.0294,77.1472,0.711,1.3618,21.7057,3.9046,92.5827,88.1356,92.8571,92.8571,13.1908,1.9402,7159
Sussex ICB - 70F ,H82070,Glebe Surgery,7.1014,82.9228,77.0449,4.4811,7.1403,1.7924,6.3865,76.5079,80.2083,93.5065,0.964,1.269,10.543,7.8146,22.7745,85.8156,70.0643,0.595,0.7079,10.3932,0.7236,90.5759,80.7692,79.1946,96.6443,8.656,2.8694,14025
Sussex ICB - 70F ,H82072,Silverdale Practice,7.4859,79.669,74.7508,2.5297,5.2964,1.2907,4.8234,78.1116,83.1325,93.3333,0.5384,2.5,8.017,7.0601,13.4081,85.034,72.6943,0.413,0.6343,12.6649,0.7412,89.3052,81.1966,81.8182,92.4242,8.6326,1.6742,11810
Sussex ICB - 70F ,H82076,Cornerways Surgery,7.0736,80.8642,85.3211,3.9348,7.0181,2.0301,6.7168,75.2475,77.2727,100,0.6266,1.451,9.355,7.0657,22.4311,71.8367,68.7692,0.3258,0.802,14.6284,1.4402,89.7481,81.1765,94.2857,97.1429,7.8152,2.5564,3997
Sussex ICB - 70F ,H82077,The Croft Surgery,7.7221,75.3747,72.0497,3.4676,5.6141,1.5672,4.5654,83.8356,78.7879,92.0732,1.325,1.655,16.36,8.4494,17.2547,79.5259,70.4132,0.7571,0.9691,18.0365,2.9381,95.0276,81.6667,88.535,96.8153,10.4413,2.5591,12125
